Starting Animation ...
Scene: 1
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:9.12M (9.89M, Peak 19.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:9.12M (9.89M, Peak 19.01M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Light
Fra:1 Mem:9.12M (9.89M, Peak 19.02M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Ground
Fra:1 Mem:9.12M (9.89M, Peak 19.02M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh2
Fra:1 Mem:9.12M (9.89M, Peak 19.21M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh1
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Images
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Hair Systems
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:0.92M, Peak:0.92M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:2.72M, Peak:2.72M | Scene, RenderLayer | Updating Lights
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:2.72M, Peak:2.72M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:2.72M, Peak:2.72M | Scene, RenderLayer | Updating Particle Systems
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:2.72M, Peak:2.72M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:9.12M (9.89M, Peak 20.32M) | Mem:2.72M, Peak:2.72M | Scene, RenderLayer | Updating Film
