Starting Animation ...
Scene: 0
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:9.06M (9.89M, Peak 18.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:9.06M (9.89M, Peak 18.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh2
Fra:1 Mem:9.06M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp10
Fra:1 Mem:9.06M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp9
Fra:1 Mem:9.06M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp8
Fra:1 Mem:9.06M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp7
Fra:1 Mem:9.07M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp6
Fra:1 Mem:9.07M (9.89M, Peak 19.17M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh1
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp5
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp4
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp3
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp2
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp1
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Images
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Hair Systems
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:0.48M, Peak:0.48M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Lights
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Particle Systems
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Film
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.33M, Peak:1.33M | Scene, RenderLayer | Updating Integrator
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.35M, Peak:1.35M | Scene, RenderLayer | Updating Lookup Tables
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.35M, Peak:1.35M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.35M, Peak:1.35M | Scene, RenderLayer | Path Tracing Tile 0/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.48M, Peak:1.48M | Scene, RenderLayer | Path Tracing Tile 3/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.45M, Peak:2.45M | Scene, RenderLayer | Path Tracing Tile 8/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 9/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.34M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 10/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 11/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 12/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 13/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 14/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 15/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 16/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 17/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 18/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 19/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 20/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 21/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 22/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 23/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 24/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 25/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 26/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 27/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 28/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 29/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 30/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 31/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 32/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 33/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 34/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 35/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 36/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 37/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 38/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 39/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 40/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 41/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 42/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 43/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 44/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 45/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 46/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 47/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 48/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 49/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 50/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 51/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 52/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 53/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 54/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 55/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 56/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 57/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 58/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 59/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 60/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 61/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 62/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 63/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 64/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 65/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 66/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 67/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 68/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 69/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 70/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 71/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 72/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 73/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 74/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 75/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 76/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 77/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 78/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 79/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 80/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 81/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 82/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 83/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 84/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 85/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 86/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 87/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 88/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 89/135
